epoch,train_mse,test_rmse,test_pearson
1,1.4857933091142943,1.5128077268600464,0.7148820651408471
2,1.151387725062323,1.2882232666015625,0.7260849238776091
3,1.0438932360834312,1.1317133903503418,0.7166272664077505
4,0.9745758794798361,1.0839003324508667,0.7247267065949281
5,0.9707203473325033,1.0704584121704102,0.7238171731945375
6,0.9313608433337577,1.2500816583633423,0.7260207353432871
7,0.8896360455867529,1.168352723121643,0.7304243268798433
8,0.8840047624130802,1.077614188194275,0.7307919413304195
9,0.8646598042265338,1.1791768074035645,0.7328020557916495
10,0.8379175786112791,1.1199488639831543,0.7294018111715783
11,0.8376443559713349,1.0952383279800415,0.73379069245182
12,0.8279548225445171,1.1726605892181396,0.731431561868667
13,0.8190049583287486,1.0744380950927734,0.729906582636855
14,0.7890408905315593,1.0613822937011719,0.7322950742762163
15,0.787589118715873,1.0722438097000122,0.7310638341850662
16,0.7716026314170512,1.0556001663208008,0.7343604269197385
17,0.7580224984848137,1.0681579113006592,0.729950330553622
18,0.766217508200158,1.0648659467697144,0.7296624552995978
19,0.7714963809659715,1.102393388748169,0.7323130729029879
20,0.7417534472599775,1.0571335554122925,0.7339567229144859
